address,zip_code,building_name,leasing_phone,leasing_email,website,numberofunits,year_built,number_stories,total_livable_area,market_value,owner_business_name,parcel_number,contact_confidence,source,active_listings_count,studio_count,br1_count,br2_count,br3plus_count,rent_min,rent_max,year_built_source,construction_era,website_source,lon,lat
4040 BALTIMORE AVE,19104,Luna on Pine,+1 888-609-1171,,,17,1911,3,13140,2702600,NEIGBORHOOD PRESERVATION & DEV FUND,881121225,matched,opa_license,1,0,1,0,0,1250,1250,opa_license,Pre-1950,,-75.205406,39.949681
4039 WALNUT ST,19104,Uno on Chestnut,+1 267-215-3536,,,17,1890,3,5601,1342300,SIMON ASSOCIATES*,881120925,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.204489,39.954627
4526-34 OSAGE AVE,19143,Spruce Square,+1 215-246-0606,,,17,1950,3,19450,2418200,KARP MICHAEL,881143930,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.213872,39.950983
4017-23 BALTIMORE AVE,19104,Luna on Pine,+1 888-609-1171,,,17,1925,4,12800,1972400,KARP MICHAEL,881121135,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.204332,39.950136
5718-24 KEYSTONE ST,19135,,,,,17,1971,3,10401,1244100,FEDOROWYCZ CHRISTINE,881142620,none,opa_license,0,,,,,,,opa_license,1950-1979,,-75.060517,40.013647
241-43 S 47TH ST,19139,"Manor Flats off Sansom, University City, Philly, New Luxury Apartment Rentals",+1 732-351-2567,,,16,1925,4,13920,1529900,NEW HORIZONS WEST LANE LLC,881144035,matched,opa_license,1,0,1,0,0,1350,1350,opa_license,Pre-1950,,-75.215676,39.953996
4409 TOLBUT ST,19136,Tolbut 4409,+1 267-376-7752,,,16,1960,3,10233,1348200,MCALONAN DEA,881225150,matched,opa_license,1,0,1,0,0,1200,1200,opa_license,1950-1979,,-75.008172,40.05143
4029 SPRUCE ST,19104,Luna on Pine,+1 888-609-1171,,,16,1900,4,5650,1361800,WEISENTHAL ANNE,881604531,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.204211,39.952172
1750 TOMLINSON RD,19116,Tomlinson Court Apartments,+1 215-676-4169,,,16,1970,2,72960,9442000,"REAL PROPERTIES, MGR J. LIPNER",881200000,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.015549,40.103835
2491 N 50TH ST,19131,Bala Apartments,+1 267-805-5211,,,16,1925,4,18048,1743200,MICHAEL WOODWARD AGT,881155810,matched,opa_license,1,1,0,0,0,1025,1025,opa_license,Pre-1950,,-75.227656,39.999919
2495 N 50TH ST,19131,Bala Apartments,+1 267-805-5211,,,16,1925,4,18408,1743200,MICHAEL WOODWARD AGT,881155820,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.22781,40.000126
5851-57 N CAMAC ST,19141,Park Ave Apartments,+1 267-382-5356,,https://www.ocfrealty.com,16,1945,3,14073,973700,WEISS BLDG,881151120,matched,opa_license,1,0,0,1,0,1400,1400,opa_license,Pre-1950,rentcast_api,-75.140707,40.042315
2000-10 GRIFFITH ST,19152,Loretto 7828,+1 267-754-1046,,,16,1958,3,8635,1181500,PHILLY PRIME LLC ,881174250,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.057668,40.0596
1623 WILLINGTON ST,19121,Oxford Village Apartments,+1 215-765-3134,,,16,2013,3,16056,1600000,1623 WILLINGTON STREET LLC,881146650,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.161823,39.978597
4537-39 OSAGE AVE,19143,Spruce Square,+1 215-246-0606,,,16,1940,3,9463,1691100,4537-39 OSAGE INVESTMENT LLC,881822365,matched,opa_license,1,0,1,0,0,1350,1350,opa_license,Pre-1950,,-75.213881,39.951455
5600-06 GERMANTOWN AVE,19144,Vernon Lofts,+1 267-440-6201,,,16,1958,3,13711,1524100,GREENZANG INC.,881097326,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.174228,40.035057
938-40 NEW MARKET ST,19123,Residences at 1 Brown,+1 215-764-5909,,http://jaimehyman.foxroach.com/,16,2015,4,18045,3048100,DOWEL LANCASTER LLC,881067005,matched,opa_license,4,0,1,3,0,1850,2395,opa_license,2010-2019,rentcast_api,-75.139373,39.964601
9201 BLUE GRASS RD,19114,Blue Grass Estates,+1 215-671-8804,,,16,1970,2,177370,23696500,CAPRI HOMES CO PRTNRSHP,881191800,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.028697,40.071532
2617 W GIRARD AVE,19130,The Bordeaux Apartments,+1 484-573-6448,,,16,2014,5,18700,2761200,MM FCDC PARTNERS LP,881070281,matched,opa_license,1,0,1,0,0,1450,1450,opa_license,2010-2019,,-75.179428,39.97432
1025-27 CHERRY ST,19107,Tenten Race Street,,,,16,1923,5,24016,2987900,1025-1027 CHERRY ST DEVELOPMENT LLC,881010220,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.157045,39.954799
115 N 34TH ST,19104,Vue 32,+1 267-641-8054,,,16,1870,4,14205,3143600,ACADEMIC PROPERTIES INC,881108100,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.190686,39.958537
2024-28 N BROAD ST,19121,Dauphin Arms Apartment Homes,+1 215-235-1156,,,16,1915,4,9450,1012100,MESSIAH COLLEGE,881299090,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.157074,39.984204
2308 GRAYS FERRY AVE,19146,Sanctuary Lofts,+1 215-467-4100,,,16,1915,,14138,338400,OSUN VILLAGE LLP,886700700,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.180293,39.945082
8733-41 FRONTENAC ST,19152,Benton Garden Apartments,+1 267-855-2408,,,16,1959,3,20868,2819500,BENTON GARDENS ASSOCIATES LP,881179700,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.047668,40.075588
1121 N 66TH ST,19151,Courtyard Apartments,+1 215-310-7333,,,16,1943,2,29992,3161000,PENN VENTURES LTD,881128600,matched,opa_license,1,0,0,1,0,1325,1325,opa_license,Pre-1950,,-75.25361,39.980459
14040 DANA AVE,19116,Station Walk Apartments,+1 215-673-8330,,,16,1970,2,189541,27249400,BROOKSHIRE TRACE ASSOC L P,881205800,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.006688,40.131224
4647-55 ADAMS AVE,19124,,,,,16,1945,2,6746,1076000,WILLOW CREEK MANOR CORP,881106300,none,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.093338,40.021291
6904 RISING SUN AVE,19111,Austin Manor Apartments,+1 215-722-1249,,,16,1960,2,10019,1770300,GERSHOVICH SIMON,881131405,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.089826,40.056521
4600-04 WALNUT ST,19139,"Manor Flats off Sansom, University City, Philly, New Luxury Apartment Rentals",+1 732-351-2567,,,16,1920,4,15300,1757600,KARASANYI NOEL,881145005,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.213914,39.955263
223-27 ARCH ST,19106,The National Old City Apartments,+1 215-278-9885,,,16,1906,5,12668,3332700,DELANCEY MULBERRY ASSOC LP,881007487,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.143993,39.952372
4401 OSAGE AVE,19104,The Linden University City,+1 833-326-0240,,,16,1920,4,17800,3079400,UNIVERSITY CITY HOUSING ASSOCIATES,881122710,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.211092,39.951114
7801 HASBROOK AVE,19111,these are apartment buildings,+1 215-843-7279,,,16,1957,3,12732,1464700,KREMS-MALONEY SHREIBER,881223800,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.084715,40.072301
262 S 21st St,19103,,,,,,1890,4,4553,990900,WHITE BIRCH VENTURES LLC,881545900,rentcast_candidate,rentcast,3,2,1,0,0,1210,2125,opa_backfill,Pre-1950,,-75.17643,39.948933
454 E Girard Ave,19125,,,,,,,,,,,,rentcast_candidate,rentcast,3,2,1,0,0,1250,1475,unknown,,,-75.128548,39.970516
2900 N 5th St,19133,,,,,,,,,,,,rentcast_candidate,rentcast,2,1,1,0,0,1050,2500,unknown,,,-75.139732,39.995342
2220 Walnut St,19103,,,,,,1910,4,3920,909400,MG LEXTON PARTNERS LP,881550407,rentcast_candidate,rentcast,6,5,1,0,0,1345,1745,opa_backfill,Pre-1950,,-75.178345,39.950859
1401 Arch St,19102,,,,,,1896,14,220304,73747000,1401 ARCH LP,881001060,rentcast_candidate,rentcast,32,24,5,3,0,1290,3115,opa_backfill,Pre-1950,,-75.163612,39.95462
7600 Stenton Ave,19118,,,,,,1960,,,,,,rentcast_candidate,rentcast,24,6,17,1,0,1207,1997,rentcast_estimate,1950-1979,,-75.190491,40.073349
4301 Chestnut St,19104,,,,,,2022,7,178878,48905600,4301 CHESTNUT LLC,881000414,rentcast_candidate,rentcast,30,18,9,3,0,1385,2995,opa_backfill,2020+,,-75.209038,39.956764
1148 Frankford Ave,19125,,,,,,1878,2,10335,12836800,1148 FRANKFORD PARTNERS LLC,881000377,rentcast_candidate,rentcast,11,4,6,1,0,1275,1975,opa_backfill,Pre-1950,,-75.134697,39.968437
510 N Broad St,19130,,,,,,2020,7,399592,116934300,510 BROAD PARTNERS LLC,881580048,rentcast_candidate,rentcast,50,17,27,6,0,1441,3029,opa_backfill,2020+,,-75.162224,39.962971
1099 Germantown Ave,19123,,2156273500,vicki@kwempower.com,https://www.kwempower.com,,2023,,,,KW Empower,,rentcast_candidate,rentcast,50,10,24,16,0,1691,6059,rentcast_estimate,2020+,derived_from_email,-75.139714,39.968043
1306 W Allegheny Ave,19132,,,,,,1930,3,3267,514300,ALLEGHENY 20 LLC,881000275,rentcast_candidate,rentcast,2,1,0,1,0,780,1025,opa_backfill,Pre-1950,,-75.151093,40.001102
1524 South St,19146,,2157357368,gerardo@ocfrealty.com,https://www.ocfrealty.com,,2018,,,,Ocf Realty Llc,,rentcast_candidate,rentcast,6,2,4,0,0,1550,1895,rentcast_estimate,2010-2019,rentcast_api,-75.168213,39.943756
3300 Henry Ave,19129,,,,,,1929,6,208399,24729400,UNIT ONE FALLS CENTER LP,881136900,rentcast_candidate,rentcast,8,2,4,2,0,1299,1899,opa_backfill,Pre-1950,,-75.184486,40.011971
133 E Roosevelt Blvd,19120,,,,,,1935,,,,,,rentcast_candidate,rentcast,2,2,0,0,0,750,750,rentcast_estimate,Pre-1950,,-75.122345,40.026333
824 N 2nd St,19123,,,,,,2025,6,98010,17432800,820 N 2ND REALTY PARTNERS L.P.,881520352,rentcast_candidate,rentcast,17,6,10,1,0,1472,2685,opa_backfill,2020+,,-75.141182,39.96373
1325 N Lee St,19125,,2157357368,gerardo@ocfrealty.com,https://www.ocfrealty.com,,2025,4,20697,3282200,Ocf Realty Llc,881000177,rentcast_candidate,rentcast,6,2,4,0,0,1370,1645,opa_backfill,2020+,rentcast_api,-75.134911,39.971073
407 N 20th St,19130,,,,,,,,,,,,rentcast_candidate,rentcast,2,1,1,0,0,1550,1815,unknown,,,-75.17086,39.961285
1101 Ludlow St,19107,,,,,,2016,19,213823,114384300,1100 MARKET ST LP,881012001,rentcast_candidate,rentcast,20,5,14,1,0,1748,3599,opa_backfill,2010-2019,,-75.159187,39.951389
2601 Poplar St,19130,,,,,,2021,4,100000,23131200,2601 POPLAR OZ LLC,881809638,rentcast_candidate,rentcast,8,3,4,1,0,1395,2225,opa_backfill,2020+,,-75.179535,39.97316
1700 N Howard St,19122,,,,,,2022,6,104034,18152800,1700 N HOWARD STREET LLC,881000057,rentcast_candidate,rentcast,12,6,3,3,0,1395,2695,opa_backfill,2020+,,-75.135483,39.975658
1901 E York St,19125,,,,,,2024,6,104042,24357200,1901 EAST YORK STREET OWNER LLC,881000901,rentcast_candidate,rentcast,17,2,7,8,0,1395,2450,opa_backfill,2020+,,-75.130562,39.985245
3025 John F Kennedy Blvd,19104,,,,,,2023,28,263823,75104800,DREXEL UNIVERSITY,881000562,rentcast_candidate,rentcast,26,7,7,12,0,2255,4914,opa_backfill,2020+,,-75.185341,39.956478
430 Fairmount Ave,19123,,,,,,1915,6,44124,8319000,420 FAIRMOUNT AVENUE PART,881006935,rentcast_candidate,rentcast,3,2,0,1,0,1300,2525,opa_backfill,Pre-1950,,-75.145859,39.9627
2230 E Somerset St,19134,,,,,,2025,5,133300,34641200,PHADC SOMERSET LLC,881000368,rentcast_candidate,rentcast,15,3,5,7,0,974,2121,opa_backfill,2020+,,-75.117569,39.985073
315 South St,19147,,,,,,1900,5,11540,1145600,329 SOUTH LLC,881515470,rentcast_candidate,rentcast,2,1,1,0,0,1185,1300,opa_backfill,Pre-1950,,-75.148109,39.941689
1514 Arrott St,19124,,,,,,1920,3,7030,683200,WILLOW CREEK MANOR CORPOR,881106150,rentcast_candidate,rentcast,2,1,1,0,0,850,900,opa_backfill,Pre-1950,,-75.085167,40.017117
3620 Baring St,19104,,,,,,1875,3,3330,754100,TANDON SHAMSHER B,881815900,rentcast_candidate,rentcast,2,2,0,0,0,1050,1050,opa_backfill,Pre-1950,,-75.195015,39.960793
332 N 62nd St,19139,,,,,,,,,,,,rentcast_candidate,rentcast,2,1,0,1,0,900,1195,unknown,,,-75.243813,39.967842
2501 Oakford St,19146,,,,,,1950,4,54870,11356400,25TH AND OAKFORD LLC,881000325,rentcast_candidate,rentcast,5,3,2,0,0,1495,1750,opa_backfill,1950-1979,,-75.185959,39.937817
908 S 47th St,19143,,,,,,1880,3,3150,465000,908 S 47TH ST LLC,881144042,rentcast_candidate,rentcast,2,1,0,1,0,1325,1975,opa_backfill,Pre-1950,,-75.216263,39.947617
1120 Locust St,19107,,2155456111,mcornelius@pre215.com,http://philadelphiarealtyexchange.com,,1920,,,,Philadelphia Realty Exchange,,rentcast_candidate,rentcast,2,2,0,0,0,900,1500,rentcast_estimate,Pre-1950,rentcast_api,-75.160446,39.947571
2736 W Girard Ave,19130,,,,,,1914,4,6795,980400,2736 W GIRARD LLC,881070282,rentcast_candidate,rentcast,2,1,0,1,0,1100,2800,opa_backfill,Pre-1950,,-75.181786,39.974155
3029 W Glenwood Ave,19121,,2672772035,cameron@skalerealestate.com,https://www.skalerealestate.com,,2022,5,49050,6477000,Skale Real Estate,881001052,rentcast_candidate,rentcast,9,4,4,1,0,1250,1850,opa_backfill,2020+,derived_from_email,-75.18502,39.981472
601 W Cliveden St,19119,,,,,,1926,,,,,,rentcast_candidate,rentcast,3,1,2,0,0,1365,1365,rentcast_estimate,Pre-1950,,-75.192352,40.038422
1464 N 52nd St,19131,,2157014001,broker@re-bosses.com,https://www.re-bosses.com,,1920,,,,Real Estate Bosses,,rentcast_candidate,rentcast,2,2,0,0,0,900,900,rentcast_estimate,Pre-1950,derived_from_email,-75.226966,39.975935
1428 S 28th St,19146,,,,,,,,,,,,rentcast_candidate,rentcast,2,1,0,1,0,1111,1111,unknown,,,-75.191032,39.935268
1530 Locust St,19102,,,,,,,,,,,,rentcast_candidate,rentcast,6,1,3,2,0,1795,4250,unknown,,,-75.167557,39.948353
1815 John F Kennedy Blvd,19103,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,2018,,,,KW Empower,,rentcast_candidate,rentcast,32,22,4,6,0,1677,4695,rentcast_estimate,2010-2019,rentcast_api,-75.17051,39.95456
30 N 23rd St,19103,,2155466000,nancyalperin@maxwellrealty.com,https://www.maxwellrealty.com,,2022,32,261350,111073500,Maxwell Realty Co,881553996,rentcast_candidate,rentcast,20,5,15,0,0,2155,3850,opa_backfill,2020+,rentcast_api,-75.17807,39.955927
1112 E Berks St,19125,,,,,,2023,4,37972,6893200,1112-20 EAST BERKS STREET INVESTMEN,881000035,rentcast_candidate,rentcast,11,3,7,1,0,1549,2350,opa_backfill,2020+,,-75.125832,39.971001
822 Wynnewood Rd,19151,,2154731800,info@domainregroup.com,http://www.domainregroup.com,,1925,3,2710,483000,Domain Real Estate Group,881001401,rentcast_candidate,rentcast,4,1,0,3,0,1100,1350,opa_backfill,Pre-1950,rentcast_api,-75.247314,39.976021
313 Race St,19106,,2153284800,mlisitsa@yahoo.com,http://www.remaxeliteteam.com,,2019,5,50032,11269800,Elite Realty Group,881000911,rentcast_candidate,rentcast,2,2,0,0,0,1750,1995,opa_backfill,2010-2019,rentcast_api,-75.145676,39.954502
12 S 43rd St,19104,,,,,,1920,3,6700,1674700,GREENZANG PROPERTIES VIII LLC,881123400,rentcast_candidate,rentcast,3,2,0,1,0,1300,2300,opa_backfill,Pre-1950,,-75.208519,39.957268
5046 Hazel Ave,19143,,,,,,1925,,,,,,rentcast_candidate,rentcast,2,1,0,1,0,990,1250,rentcast_estimate,Pre-1950,,-75.224571,39.95079
701 Cecil B Moore Ave,19122,,2156273500,vicki@kwempower.com,https://www.kwempower.com,,2025,4,34492,5658400,KW Empower,881000276,rentcast_candidate,rentcast,4,2,1,1,0,1288,2200,opa_backfill,2020+,derived_from_email,-75.147011,39.977394
416 Vine St,19106,,2158840500,ben@altmanco.com,https://www.altmanco.com,,2025,6,55540,17103300,Altman Management Company,881000821,rentcast_candidate,rentcast,2,1,1,0,0,1999,3699,opa_backfill,2020+,derived_from_email,-75.147118,39.956017
4419 Ludlow St,19104,,2152224412,realestate@orensbrothers.com,http://www.orensbrothers.com,,2020,5,42272,11573700,Orens Bros. Real Estate Inc.,881000303,rentcast_candidate,rentcast,3,1,1,1,0,1050,2000,opa_backfill,2020+,rentcast_api,-75.20993,39.95742
1213 Walnut St,19107,,6106359977,contactchrisshields@gmail.com,,,2016,26,298216,90299500,SERHANT PENNSYLVANIA LLC,881011115,rentcast_candidate,rentcast,11,3,6,2,0,1965,4902,opa_backfill,2010-2019,,-75.161224,39.949299
42 S 15th St,19102,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,1970,,,,KW Empower,,rentcast_candidate,rentcast,13,5,7,1,0,1659,2837,rentcast_estimate,1950-1979,rentcast_api,-75.164436,39.957466
2200 Benjamin Franklin Pkwy,19130,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,1963,,,,KW Empower,,rentcast_candidate,rentcast,70,25,34,11,0,1481,8623,rentcast_estimate,1950-1979,rentcast_api,-75.177574,39.961452
5301 Catharine St,19143,,2155457007,cristym@phillyliving.com,https://www.phillyliving.com,,2019,,,,"Philly LMG, LLC",,rentcast_candidate,rentcast,2,2,0,0,0,1100,1100,rentcast_estimate,2010-2019,derived_from_email,-75.22926,39.949427
1324 Frankford Ave,19125,,2157357368,gerardo@ocfrealty.com,https://www.ocfrealty.com,,2021,4,39401,9830700,Ocf Realty Llc,881000176,rentcast_candidate,rentcast,14,5,9,0,0,1221,1483,opa_backfill,2020+,rentcast_api,-75.134773,39.971081
210 Locust St,19106,,2155451500,domb@allandomb.com,https://www.allandomb.com,,1963,,,,Allan Domb Real Estate,,rentcast_candidate,rentcast,2,1,1,0,0,1450,2200,rentcast_estimate,1950-1979,rentcast_api,-75.145669,39.945078
5904 Germantown Ave,19144,,2672772035,cameron@skalerealestate.com,https://www.skalerealestate.com,,2023,5,24500,3870600,Skale Real Estate,881000003,rentcast_candidate,rentcast,7,3,3,1,0,1150,1950,opa_backfill,2020+,derived_from_email,-75.176804,40.037895
5545 Pulaski Ave,19144,,2672772035,cameron@skalerealestate.com,https://www.skalerealestate.com,,2022,4,31000,5493100,Skale Real Estate,881000209,rentcast_candidate,rentcast,12,5,5,2,0,1150,1880,opa_backfill,2020+,derived_from_email,-75.179245,40.030041
4200 Lancaster Ave,19104,,2672772035,cameron@skalerealestate.com,https://www.skalerealestate.com,,2021,4,14586,1969500,Skale Real Estate,881000056,rentcast_candidate,rentcast,3,3,0,0,0,1092,1345,opa_backfill,2020+,derived_from_email,-75.207764,39.966259
135 S 19th St,19103,,2155451500,domb@allandomb.com,https://www.allandomb.com,,1925,,,,Allan Domb Real Estate,,rentcast_candidate,rentcast,7,1,5,1,0,1725,4350,rentcast_estimate,Pre-1950,rentcast_api,-75.17221,39.95074
130 S Juniper St,19107,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,1927,5,69254,21544700,KW Empower,881001063,rentcast_candidate,rentcast,79,3,76,0,0,1772,4175,opa_backfill,Pre-1950,rentcast_api,-75.163226,39.949615
5503 W Girard Ave,19131,,2156273500,vicki@kwempower.com,https://www.kwempower.com,,1925,,,,KW Empower,,rentcast_candidate,rentcast,2,2,0,0,0,1000,1000,rentcast_estimate,Pre-1950,derived_from_email,-75.230911,39.971088
1000 W Girard Ave,19123,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,2023,6,115014,25367900,KW Empower,881000086,rentcast_candidate,rentcast,112,3,89,20,0,1757,3933,opa_backfill,2020+,rentcast_api,-75.153862,39.970425
820 N 2nd St,19123,,,,,,2025,6,98010,17432800,820 N 2ND REALTY PARTNERS L.P.,881520352,rentcast_candidate,rentcast,2,1,1,0,0,1395,2157,opa_backfill,2020+,,-75.141182,39.963623
2300 Walnut St,19103,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,1928,,,,KW Empower,,rentcast_candidate,rentcast,9,2,7,0,0,2380,3066,rentcast_estimate,Pre-1950,rentcast_api,-75.179039,39.950924
222 W Rittenhouse Sq,19103,,2155466000,nancyalperin@maxwellrealty.com,https://www.maxwellrealty.com,,1910,,,,Maxwell Realty Co,,rentcast_candidate,rentcast,5,3,2,0,0,1600,2265,rentcast_estimate,Pre-1950,rentcast_api,-75.17337,39.949203
1300 S 19th St,19146,,2157357368,gerardo@ocfrealty.com,https://www.ocfrealty.com,,1924,,,,Ocf Realty Llc,,rentcast_candidate,rentcast,15,13,2,0,0,995,1529,rentcast_estimate,Pre-1950,rentcast_api,-75.176231,39.934155
2201 Washington Ave,19146,,2157357368,gerardo@ocfrealty.com,https://www.ocfrealty.com,,2022,4,40420,9181100,Ocf Realty Llc,881000021,rentcast_candidate,rentcast,5,4,1,0,0,1238,1615,opa_backfill,2020+,rentcast_api,-75.180603,39.939857
330 Cecil B Moore Ave,19122,,2158660050,info@elfantwissahickon.com,http://elfantwissahickon.com,,2021,4,42879,6432900,Elfant Wissahickon Realtors-Fishtown,881147224,rentcast_candidate,rentcast,8,2,4,2,0,1225,2400,opa_backfill,2020+,rentcast_api,-75.142166,39.976513
1622 Point Breeze Ave,19145,,2157357368,gerardo@ocfrealty.com,https://www.ocfrealty.com,,2024,4,47460,7721300,Ocf Realty Llc,881000365,rentcast_candidate,rentcast,11,4,6,1,0,1173,1696,opa_backfill,2020+,rentcast_api,-75.182533,39.931618
1314 Spring Garden St,19123,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,2025,7,89470,26282100,KW Empower,881000796,rentcast_candidate,rentcast,15,13,2,0,0,1485,1852,opa_backfill,2020+,rentcast_api,-75.160248,39.961819
1731 W Diamond St,19121,,,,,,1915,3,2496,542300,DIAMOND PROPERTY ASSOCIAT,881146285,rentcast_candidate,rentcast,2,1,1,0,0,900,900,opa_backfill,Pre-1950,,-75.16236,39.985716
1420 Point Breeze Ave,19146,,2157357368,gerardo@ocfrealty.com,https://www.ocfrealty.com,,2022,4,35628,9300500,Ocf Realty Llc,881577345,rentcast_candidate,rentcast,6,1,5,0,0,1315,7500,opa_backfill,2020+,rentcast_api,-75.180305,39.934067
5521 Wayne Ave,19144,,2677972175,info@jbmpgroup.com,https://www.jbmpgroup.com,,2025,6,42000,7711900,Jbmp Group,881000606,rentcast_candidate,rentcast,8,3,5,0,0,1145,1925,opa_backfill,2020+,rentcast_api,-75.177139,40.031193
2002 Frankford Ave,19125,,2674358015,info@compass.com,http://jaimehyman.foxroach.com/,,1900,1,5751,1278100,COMPASS,881001322,rentcast_candidate,rentcast,2,1,0,1,0,1200,2500,opa_backfill,Pre-1950,rentcast_api,-75.130531,39.978832
7165 Keystone St,19135,,,,,,1940,2,89574,5846900,7165 KEYSTONE INVESTMENTS,881000098,rentcast_candidate,rentcast,10,1,7,2,0,1200,1450,opa_backfill,Pre-1950,,-75.034592,40.026588
201 S 25th St,19103,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,1988,,,,KW Empower,,rentcast_candidate,rentcast,11,2,9,0,0,2281,3074,rentcast_estimate,1980-1999,rentcast_api,-75.180818,39.949742
6632 Germantown Ave,19119,,2154429388,ed@edmcdonaldrealestate.com,https://www.edmcdonaldrealestate.com,,1920,,,,"Hartsville Realty Property Management, Inc.",,rentcast_candidate,rentcast,2,1,1,0,0,900,1150,rentcast_estimate,Pre-1950,derived_from_email,-75.185493,40.051552
204 W Washington Sq,19106,,2674632428,team@rentscene.com,https://null,,2006,,,,"BMB Living, Inc.",,rentcast_candidate,rentcast,2,1,0,1,0,2626,5236,rentcast_estimate,2000-2009,rentcast_api,-75.153664,39.947277
1500 Locust St,19102,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,2000,,,,KW Empower,,rentcast_candidate,rentcast,32,8,21,3,0,1649,3440,rentcast_estimate,2000-2009,rentcast_api,-75.166679,39.948242
2235 Washington Ave,19146,,2157357368,gerardo@ocfrealty.com,https://www.ocfrealty.com,,2022,4,25628,6291500,Ocf Realty Llc,881000022,rentcast_candidate,rentcast,4,3,1,0,0,1238,1629,opa_backfill,2020+,rentcast_api,-75.181091,39.939835
5936 Haverford Ave,19151,,,,,,1920,,,,,,rentcast_candidate,rentcast,2,1,0,1,0,300,1450,rentcast_estimate,Pre-1950,,-75.238899,39.969482
4637 Leiper St,19124,,2157177308,cashflowpropertym@gmail.com,,,1930,3,4332,327700,"Cash Flow Property Management, LLC.",881000464,rentcast_candidate,rentcast,2,2,0,0,0,850,900,opa_backfill,Pre-1950,,-75.087013,40.016842
245 N 12th St,19107,,2677972175,info@jbmpgroup.com,https://www.jbmpgroup.com,,2024,4,6480,1031900,Jbmp Group,881000653,rentcast_candidate,rentcast,2,1,0,1,0,1420,1420,opa_backfill,2020+,rentcast_api,-75.158554,39.956932
1924 N Front St,19122,,2154674100,info@jg-realestate.com,https://www.jg-realestate.com,,2024,5,32605,5089200,JG Real Estate,881000380,rentcast_candidate,rentcast,3,1,2,0,0,1250,1395,opa_backfill,2020+,rentcast_api,-75.133661,39.979426
367 W Hortter St,19119,,2677972175,info@jbmpgroup.com,https://www.jbmpgroup.com,,2024,4,24320,3970200,Jbmp Group,881001104,rentcast_candidate,rentcast,3,2,1,0,0,1279,1558,opa_backfill,2020+,rentcast_api,-75.1912,40.044083
3120 W Jefferson St,19121,,2672772035,cameron@skalerealestate.com,https://www.skalerealestate.com,,2021,5,28212,5260000,Skale Real Estate,881000300,rentcast_candidate,rentcast,8,5,2,1,0,1295,1850,opa_backfill,2020+,derived_from_email,-75.186409,39.979263
2701 W Girard Ave,19130,,2159237600,daryl.turner@cbpref.com,https://www.coldwellbankerhomes.com//pa/philadelphia/office/old-city/oid_5052/,,1888,3,18675,2052500,Coldwell Banker Realty,881070286,rentcast_candidate,rentcast,2,1,0,1,0,1299,1899,opa_backfill,Pre-1950,rentcast_api,-75.180656,39.974442
450 N 18th St,19130,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,1987,,,,KW Empower,,rentcast_candidate,rentcast,31,5,17,9,0,1635,3966,rentcast_estimate,1980-1999,rentcast_api,-75.168823,39.962257
711 Walnut St,19106,,2155457007,cristym@phillyliving.com,https://www.phillyliving.com,,1900,4,5341,1223500,"Philly LMG, LLC",881011035,rentcast_candidate,rentcast,2,2,0,0,0,1375,1375,opa_backfill,Pre-1950,derived_from_email,-75.153107,39.948166
604-36 S Washington Sq,19106,,2155451500,domb@allandomb.com,https://www.allandomb.com,,1973,,,,Allan Domb Real Estate,,rentcast_candidate,rentcast,3,2,1,0,0,1485,2050,rentcast_estimate,1950-1979,rentcast_api,-75.152313,39.945904
6144 Germantown Ave,19144,,2156273500,vicki@kwempower.com,http://tcsgroup.com,,2023,4,42000,7066700,KW Empower,881097342,rentcast_candidate,rentcast,9,2,5,2,0,1335,1900,opa_backfill,2020+,rentcast_api,-75.180069,40.041714
